country_x,EXT,EST,AGR,CSN,OPN,ctr,country_y,pdi,idv,mas,uai,ltowvs,ivr
MAC,29.29139072847682,30.966887417218544,36.64238410596027,32.93377483443709,33.50662251655629,MAC,Macedonia Rep,,,,,62.0,35.0
MLT,28.917989417989418,31.825396825396826,37.15079365079365,32.870370370370374,39.74867724867725,MLT,Malta,56.0,59.0,47.0,96.0,47.0,66.0
MEX,29.170731707317074,31.50233142037303,35.2469512195122,31.730003586800574,38.13558106169297,MEX,Mexico,81.0,30.0,69.0,82.0,24.0,97.0
MYS,28.638397181858213,31.522148833113167,36.04922941435491,32.947071774548654,34.197093791281375,MYS,Malaysia,104.0,26.0,50.0,36.0,41.0,57.0
NGA,28.70798319327731,29.290966386554622,38.96743697478992,36.02205882352941,38.5672268907563,NGA,Nigeria,,,,,13.0,84.0
NLD,30.941951967296884,29.11527848748084,37.697700562084826,32.95114971895759,39.38947368421053,NLD,Netherlands,38.0,80.0,14.0,53.0,67.0,68.0
NOR,29.776298502233512,28.533765437505473,36.30699833581501,32.2915827275116,37.63326618200929,NOR,Norway,31.0,69.0,8.0,50.0,35.0,55.0
NZL,30.419719827586206,30.25700431034483,37.276785714285715,32.97059729064039,37.651554802955665,NZL,New Zealand,22.0,79.0,58.0,49.0,33.0,75.0
PAN,28.848484848484848,31.449494949494948,36.282828282828284,32.04040404040404,39.792929292929294,PAN,Panama,95.0,11.0,44.0,86.0,,
PER,29.124773960217,31.775165762507534,35.164556962025316,30.81856540084388,37.965039180229056,PER,Peru,64.0,16.0,42.0,87.0,25.0,46.0
PHL,28.389983372801936,31.780873683680152,36.17216707814783,33.99380258981206,35.7652541945886,PHL,Philippines,94.0,32.0,64.0,44.0,27.0,42.0
PAK,30.06436912560524,31.38706921105098,38.093990316149245,33.96126459698092,35.770435773283964,PAK,Pakistan,55.0,14.0,50.0,70.0,50.0,0.0
POL,27.280103026400514,32.5361665593475,33.81090362738785,30.957501609787506,40.66731058166989,POL,Poland,68.0,60.0,64.0,93.0,38.0,29.0
PRI,28.88132635253054,30.8673647469459,36.982547993019196,33.13089005235602,39.24956369982548,PRI,Puerto Rico,,,,,0.0,90.0
PRT,26.903533148074633,31.312822548630407,36.23263199682414,31.79396585946804,39.52798729654625,PRT,Portugal,63.0,27.0,31.0,104.0,28.0,33.0
ROU,28.819077242094348,31.040176257128046,35.60575427682737,32.32737169517885,39.85458786936236,ROU,Romania,90.0,30.0,42.0,90.0,52.0,20.0
SRB,29.284261501210654,31.086198547215496,36.034382566585954,32.83050847457627,40.58305084745763,SRB,Serbia,86.0,25.0,43.0,92.0,52.0,28.0
RUS,27.98224495937406,32.432440565753836,34.47607583508878,31.972013241047247,38.64610291904905,RUS,Russia,93.0,39.0,36.0,95.0,81.0,20.0
RWA,32.09375,29.125,40.5625,36.28125,40.375,RWA,Rwanda,,,,,18.0,37.0
SAU,28.248860528714676,31.764813126709207,36.53691886964449,33.06836827711942,37.7538742023701,SAU,Saudi Arabia,,,,,36.0,52.0
SWE,30.350995902029926,29.879919946631087,36.38282664633565,32.76984656437625,39.597160011436195,SWE,Sweden,31.0,71.0,5.0,29.0,53.0,78.0
SGP,28.362997658079625,30.91191777257351,36.55997918293,32.85415040333073,36.24603174603175,SGP,Singapore,74.0,20.0,48.0,8.0,72.0,46.0
SVK,28.59576612903226,30.461693548387096,35.346774193548384,32.00403225806452,39.80443548387097,SVK,Slovak Rep,104.0,52.0,110.0,51.0,77.0,28.0
